battle;article;date;state;outcome;start_date;victory;battle_location
Battle of Cobleskill;https://en.wikipedia.org/wiki/Battle_of_Cobleskill;May 30, 1778;New York;British-Iroquois victory;1778-05-30;;42.6791666667, -74.4855555556
Wyoming Massacre;https://en.wikipedia.org/wiki/Wyoming_Massacre;July 3, 1778;Pennsylvania;British-Iroquois victory;1778-07-03;;41.25, -75.905
Siege of Bryan Station;https://en.wikipedia.org/wiki/Siege_of_Bryan_Station;August 15-17, 1782;Virginia;Patriot victory;1782-08-15;Patriot victory;38.0758666667, -84.4152916667
Battle of Sullivan's Island;https://en.wikipedia.org/wiki/Battle_of_Sullivan%27s_Island;June 28, 1776;South Carolina;Patriot victory: British attack on Charleston is repulsed.;1776-06-28;Patriot victory;32.759373, -79.857748
Battle of Newport;https://en.wikipedia.org/wiki/Battle_of_Rhode_Island;August 29, 1778;Rhode Island;British victory;1778-08-29;British victory;41.596, -71.263
Invasion of Dominica;https://en.wikipedia.org/wiki/Invasion_of_Dominica;September 7, 1778;Dominica;French victory;1778-09-07;;15.4166666667, -61.3333333333
Battle of the Mona Passage;https://en.wikipedia.org/wiki/Battle_of_the_Mona_Passage;April 19, 1782;Mona passage;British victory;1782-04-19;British victory;18.5, -68.0
Battle of Haw River;https://en.wikipedia.org/wiki/Battle_of_Haw_River;February 25, 1781;North Carolina;Patriot victory;1781-02-25;Patriot victory;36.04, -79.4
Battle of Trois-RiviÃ¨res;https://en.wikipedia.org/wiki/Battle_of_Trois-Rivi%C3%A8res;June 8, 1776;Quebec;British victory: Patriots forced to evacuate Quebec;1776-06-08;British victory;46.35, -72.55
Cherry Valley Massacre;https://en.wikipedia.org/wiki/Cherry_Valley_Massacre;November 11, 1778;New York;British-Iroquois victory;1778-11-11;;42.8088888889, -74.7372222222
Battle of Minisink;https://en.wikipedia.org/wiki/Battle_of_Minisink;July 22, 1779;New York;British-Iroquois victory;1779-07-22;;41.4888888889, -74.9708333333
Battle of Hubbardton;https://en.wikipedia.org/wiki/Battle_of_Hubbardton;July 7, 1777;New York;British victory;1777-07-07;British victory;43.7, -73.1333333333
Capture of Grenada;https://en.wikipedia.org/wiki/Capture_of_Grenada;July 2, 1779;Grenada;French victory;1779-07-02;;12.05, -61.75
Battle of Hanging Rock;https://en.wikipedia.org/wiki/Battle_of_Hanging_Rock;August 6, 1780;South Carolina;Patriot victory;1780-08-06;Patriot victory;34.5656666667, -80.6617916667
Battle of San Fernando de Omoa;https://en.wikipedia.org/wiki/Battle_of_San_Fernando_de_Omoa;;Guatemala;British victory;;British victory;15.7738888889, -88.0363888889
Battle of White Plains;https://en.wikipedia.org/wiki/Battle_of_White_Plains;October 28, 1776;New York;British victory;1776-10-28;British victory;41.04, -73.7786111111
Battle of Paulus Hook;https://en.wikipedia.org/wiki/Battle_of_Paulus_Hook;August 19, 1779;New Jersey;Patriot victory;1779-08-19;Patriot victory;40.70757, -74.03961
Battle of Ramsour's Mill;https://en.wikipedia.org/wiki/Battle_of_Ramsour%27s_Mill;June 20, 1780;North Carolina;Patriot victory;1780-06-20;Patriot victory;35.4784, -81.2591
Capture of the Bahamas;https://en.wikipedia.org/wiki/Capture_of_the_Bahamas_(1782);May 6, 1782;Bahamas;Patriot-Spanish victory;1782-05-06;;25.0599555556, -77.3450166667
Battle of Forts Clinton and Montgomery;https://en.wikipedia.org/wiki/Battle_of_Forts_Clinton_and_Montgomery;October 6, 1777;New York;British victory;1777-10-06;British victory;41.3228638889, -73.9897222222
Battle of Black Mingo;https://en.wikipedia.org/wiki/Battle_of_Black_Mingo;August 28, 1780;South Carolina;Patriot victory;1780-08-28;Patriot victory;33.6166666667, -79.4333333333
Battle of Delaware Bay;https://en.wikipedia.org/wiki/Battle_of_Delaware_Bay;April 8, 1782;New Jersey;Patriot victory;1782-04-08;Patriot victory;39.0831694444, -74.9665805556
Penobscot Expedition;https://en.wikipedia.org/wiki/Penobscot_Expedition;;Massachusetts;British victory;;British victory;44.391, -68.8056
Battle of Mobile;https://en.wikipedia.org/wiki/Battle_of_Mobile_(1781);January 7, 1781;West Florida;Patriot-Spanish victory;1781-01-07;;30.66405, -88.002075
Battle of Fort Royal;https://en.wikipedia.org/wiki/Battle_of_Fort_Royal;April 29, 1781;Martinique;French victory;1781-04-29;;14.6, -61.25
Battle of Stony Point;https://en.wikipedia.org/wiki/Battle_of_Stony_Point;July 16, 1779;New York;Patriot victory;1779-07-16;Patriot victory;41.241, -73.974
Battle of Brandywine;https://en.wikipedia.org/wiki/Battle_of_Brandywine;September 11, 1777;Pennsylvania;British victory;1777-09-11;British victory;39.8719444444, -75.59
Siege of Fort Vincennes;https://en.wikipedia.org/wiki/Siege_of_Fort_Vincennes;February 23-25, 1779;Quebec;Patriot victory;1779-02-23;Patriot victory;38.6783333333, -87.5161111111
Battle of Rocky Mount;https://en.wikipedia.org/wiki/Battle_of_Rocky_Mount;August 1, 1780;South Carolina;Loyalist victory;1780-08-01;;34.5398638889, -80.8759416667
Capture of Sint Eustatius;https://en.wikipedia.org/wiki/Capture_of_Sint_Eustatius;February 3, 1781;Sint Eustatius;British victory;1781-02-03;British victory;17.4833333333, -62.9833333333
Battle of Fort St. George;https://en.wikipedia.org/wiki/Battle_of_Fort_St._George;November 23, 1780;New York;Patriot victory;1780-11-23;Patriot victory;40.9644444444, -73.0438888889
Action of 1 May 1781;https://en.wikipedia.org/wiki/Action_of_1_May_1781;May 1, 1781;France;British victory;1781-05-01;British victory;
Action of 12 December 1782;https://en.wikipedia.org/wiki/Action_of_12_December_1782;December 12, 1782;Spain;British victory;1782-12-12;British victory;
Battle of Quebec;https://en.wikipedia.org/wiki/Battle_of_Quebec_(1775);December 31, 1775;Quebec;British victory: British repulse Patriot assault on Quebec city.;1775-12-31;British victory;46.8151, -71.2023055556
Battle of Waxhaws;https://en.wikipedia.org/wiki/Battle_of_Waxhaws;May 29, 1780;South Carolina;British victory;1780-05-29;British victory;34.7419527778, -80.6257916667
Battle of Camden;https://en.wikipedia.org/wiki/Battle_of_Camden;August 16, 1780;South Carolina;British victory;1780-08-16;British victory;34.3645527778, -80.6139
Capture of Trincomalee;https://en.wikipedia.org/wiki/Capture_of_Trincomalee;January 11, 1782;Ceylon;British victory;1782-01-11;British victory;8.54910833333, 81.2377166667
Battle of Fishing Creek;https://en.wikipedia.org/wiki/Battle_of_Fishing_Creek;August 18, 1780;South Carolina;British victory;1780-08-18;British victory;34.635, -80.9058333333
Siege of Negapatam;https://en.wikipedia.org/wiki/Siege_of_Negapatam;;India;British victory;;British victory;10.7763138889, 79.8397055556
Battle of Germantown;https://en.wikipedia.org/wiki/Battle_of_Germantown;October 4, 1777;Pennsylvania;British victory;1777-10-04;British victory;40.0238, -75.1597
Battle of Barbados;https://en.wikipedia.org/wiki/Battle_of_Barbados;March 7, 1778;Barbados;British victory;1778-03-07;British victory;
Battle of Wetzell's Mill;https://en.wikipedia.org/wiki/Battle_of_Wetzell%27s_Mill;March 6, 1781;North Carolina;British victory;1781-03-06;British victory;36.08, -79.79
Battle of Negapatam;https://en.wikipedia.org/wiki/Battle_of_Negapatam_(1782);July 6, 1782;Ceylon;British victory;1782-07-06;British victory;10.778, 79.8661416667
Gunpowder Incident;https://en.wikipedia.org/wiki/Gunpowder_Incident;April 20, 1775;Virginia;Virginia governor Lord Dunmore removes powder to a Royal Navy ship, standoff is resolved without violence.;1775-04-20;;37.2708333333, -76.7069444444
Naval battle of Louisbourg;https://en.wikipedia.org/wiki/Naval_battle_of_Louisbourg;July 21, 1781;Nova Scotia;Franco-Patriot victory;1781-07-21;Patriot victory;
Action of 6 December 1782;https://en.wikipedia.org/wiki/Action_of_6_December_1782;December 6, 1782;Martinique;British victory;1782-12-06;British victory;
Battle of Thomas Creek;https://en.wikipedia.org/wiki/Battle_of_Thomas_Creek;May 17, 1777;East Florida;British victory;1777-05-17;British victory;30.50565, -81.79164
Battle of Quinton's Bridge;https://en.wikipedia.org/wiki/Battle_of_Quinton%27s_Bridge;March 18, 1778;New Jersey;British victory;1778-03-18;British victory;39.548485, -75.414366
Battle of Cowan's Ford;https://en.wikipedia.org/wiki/Battle_of_Cowan%27s_Ford;February 1, 1781;North Carolina;British victory;1781-02-01;British victory;35.4283, -80.9519
Siege of Fort Henry;https://en.wikipedia.org/wiki/Siege_of_Fort_Henry_(1782);September 11-13, 1782;Virginia;Patriot victory;1782-09-11;Patriot victory;40.0638888889, -80.725
Battle of Lindley's Fort;https://en.wikipedia.org/wiki/Battle_of_Lindley%27s_Fort;July 15, 1776;South Carolina;Patriot victory: Native Americans attack repulsed.;1776-07-15;Patriot victory;34.45965, -82.118268
Battle of Grenada;https://en.wikipedia.org/wiki/Battle_of_Grenada;July 6, 1779;Grenada;French victory;1779-07-06;;12.05, -61.75
Battle of RoatÃ¡n;https://en.wikipedia.org/wiki/Battle_of_Roat%C3%A1n;March 16, 1782;Guatemala;Patriot-Spanish victory;1782-03-16;;16.3834305556, -86.4178333333
Action of 8 January 1780;https://en.wikipedia.org/wiki/Action_of_8_January_1780;January 8, 1780;Spain;British victory;1780-01-08;British victory;43.0, -20.25
Battle of Lenud's Ferry;https://en.wikipedia.org/wiki/Battle_of_Lenud%27s_Ferry;May 6, 1780;South Carolina;British victory;1780-05-06;British victory;33.3047083333, -79.6750833333
Battle of Blandford;https://en.wikipedia.org/wiki/Battle_of_Blandford;April 25, 1781;Virginia;British victory;1781-04-25;British victory;37.23438, -77.3939
Battle of Saint Kitts;https://en.wikipedia.org/wiki/Battle_of_Saint_Kitts;January 25-26, 1782;St. Christopher;British victory;1782-01-25;British victory;17.15, -62.5833333333
Action of 11 November 1779;https://en.wikipedia.org/wiki/Action_of_11_November_1779;November 11, 1779;Portugal;British victory;1779-11-11;British victory;
Battle of Eutaw Springs;https://en.wikipedia.org/wiki/Battle_of_Eutaw_Springs;September 8, 1781;South Carolina;British victory;1781-09-08;British victory;33.40728, -80.29875
Battle of Providien;https://en.wikipedia.org/wiki/Battle_of_Providien;April 12, 1782;Ceylon;French victory;1782-04-12;;8.25498333333, 81.5130611111
Naval battle off Halifax;https://en.wikipedia.org/wiki/Naval_battle_off_Halifax;May 28-29, 1782;Nova Scotia;British victory;1782-05-28;British victory;44.3, -63.4
Battle of Moore's Creek Bridge;https://en.wikipedia.org/wiki/Battle_of_Moore%27s_Creek_Bridge;February 27, 1776;North Carolina;Patriot victory: loyalist force of Regulators and Highlanders defeated.;1776-02-27;Patriot victory;34.4575, -78.1097222222
Battle of Long Island;https://en.wikipedia.org/wiki/Battle_of_Long_Island;August 27, 1776;New York;British victory: in the largest battle of the war the Patriot army is outflanked and routed on Long Island but later manages to evacuate to Manhattan.;1776-08-27;British victory;34.4575, -78.1097222222
Forage War;https://en.wikipedia.org/wiki/Forage_War;;New Jersey;Patriots harass remaining British forces in New Jersey.;;;38.4284078333, -83.9946472222
Battle of Gloucester;https://en.wikipedia.org/wiki/Battle_of_Gloucester_(1777);November 25, 1777;New Jersey;Patriot victory;1777-11-25;Patriot victory;39.87206, -75.18871
Battle of Mobley's Meeting House;https://en.wikipedia.org/wiki/Battle_of_Mobley%27s_Meeting_House;June 10-12, 1780;South Carolina;Patriot victory;1780-06-10;Patriot victory;34.4533333333, -81.2725
Battle of Charlotte;https://en.wikipedia.org/wiki/Battle_of_Charlotte;September 26, 1780;North Carolina;British victory;1780-09-26;British victory;35.2269444444, -80.8433333333
Royalton Raid;https://en.wikipedia.org/wiki/Royalton_Raid;October 16, 1780;Vermont;British victory;1780-10-16;British victory;
Siege of Fort St. Jean;https://en.wikipedia.org/wiki/Siege_of_Fort_St._Jean;September 17;Quebec;Patriot victory: Patriots capture British force and subsequently overrun Montreal and much of Quebec.;1775-09-17;Patriot victory;45.3166666667, -73.2666666667
Battle of Block Island;https://en.wikipedia.org/wiki/Battle_of_Block_Island;April 6, 1776;Rhode Island;British victory;1776-04-06;British victory;40.934888, -71.018829
Battle of Bound Brook;https://en.wikipedia.org/wiki/Battle_of_Bound_Brook;April 13, 1777;New Jersey;British victory;1777-04-13;British victory;40.5589, -74.5278
Battle of Chillicothe;https://en.wikipedia.org/wiki/Battle_of_Chillicothe;;Quebec;Patriot victory;;Patriot victory;39.7305555556, -83.9377777778
Siege of Savage's Old Fields;https://en.wikipedia.org/wiki/Siege_of_Savage%27s_Old_Fields;November 19-21, 1775;South Carolina;Patriot victory: Patriots defeat loyalist force.;1775-11-19;Patriot victory;34.1469444444, -82.0244444444
Battle of Fort Cumberland;https://en.wikipedia.org/wiki/Battle_of_Fort_Cumberland;November 10-29, 1776;Nova Scotia;British victory;1776-11-10;British victory;45.8655083333, -64.2907916667
Battle of Fort Ann;https://en.wikipedia.org/wiki/Battle_of_Fort_Ann;July 8, 1777;New York;British victory;1777-07-08;British victory;43.4261194444, -73.4805111111
Battle of Cooch's Bridge;https://en.wikipedia.org/wiki/Battle_of_Cooch%27s_Bridge;September 3, 1777;Delaware;British victory;1777-09-03;British victory;39.639722, -75.726667
Battle of Paoli;https://en.wikipedia.org/wiki/Battle_of_Paoli;September 21, 1777;Pennsylvania;British victory;1777-09-21;British victory;40.0297222222, -75.5183333333
Raid on Unadilla and Onaquaga;https://en.wikipedia.org/wiki/Raid_on_Unadilla_and_Onaquaga;October 2-16, 1778;Indian Reserve;Patriot victory;1778-10-26;Patriot victory;
Chesapeake raid;https://en.wikipedia.org/wiki/Chesapeake_raid;May 10-24, 1779;Virginia;British victory;1779-05-10;British victory;38.05, -76.1833333333
Battle of Harlem Heights;https://en.wikipedia.org/wiki/Battle_of_Harlem_Heights;September 16, 1776;New York;Patriot victory: Patriots repulse British attack on Manhattan;1776-09-16;Patriot victory;40.809, -73.956
Action of 9 August 1780;https://en.wikipedia.org/wiki/Action_of_9_August_1780;August 9, 1780;Atlantic;Spanish victory;1780-08-09;;35.8336111111, -13.2333333333
Capture of the Bahamas;https://en.wikipedia.org/wiki/Capture_of_the_Bahamas_(1783);April 14-18, 1783;Bahamas;British victory;1783-04-14;British victory;25.0666666667, -77.3333333333
Battle of Nassau;https://en.wikipedia.org/wiki/Battle_of_Nassau;March 3-4, 1776;Bahamas;Patriots raid against the Bahamas to obtain supplies.;1776-03-03;;25.06, -77.345
Battle of Iron Works Hill;https://en.wikipedia.org/wiki/Battle_of_Iron_Works_Hill;December 22-23, 1776;New Jersey;British victory;1776-12-22;British victory;39.995, -74.7869444444
Battle of Flamborough Head;https://en.wikipedia.org/wiki/Battle_of_Flamborough_Head;September 23, 1779;Great Britain;Patriot victory;1779-09-23;Patriot victory;54.1625, -0.119444444444
Battle of Sadras;https://en.wikipedia.org/wiki/Battle_of_Sadras;February 17, 1782;India;French victory;1782-02-17;;12.5233972222, 80.17685
Battle of Short Hills;https://en.wikipedia.org/wiki/Battle_of_Short_Hills;June 26, 1777;New Jersey;British victory;1777-06-26;British victory;40.75, -74.332
