battle;article;date;state;outcome;start_date;victory;battle_location
Battle of Wahab's Plantation;https://en.wikipedia.org/wiki/Battle_of_Wahab%27s_Plantation;September 20, 1780;South Carolina;Patriot victory;1780-09-20;Patriot victory;34.86084, -80.76265
Landing at Kip's Bay;https://en.wikipedia.org/wiki/Landing_at_Kip%27s_Bay;September 15, 1776;New York;British victory: British capture New York City;1776-09-15;British victory;40.7363305556, -73.9746388889
Battle of Cuddalore;https://en.wikipedia.org/wiki/Battle_of_Cuddalore_(1783);June 20, 1783;India;French victory;1783-06-20;;11.75, 79.75
Grey's raid;https://en.wikipedia.org/wiki/Grey%27s_raid;September 5-17, 1778;Massachusetts;British victory;;British victory;41.6361111111, -70.9347222222
Invasion of Minorca;https://en.wikipedia.org/wiki/Invasion_of_Minorca,_1781;;Minorca;Franco-Spanish victory;;;39.9666666667, 4.08333333333
Snow Campaign;https://en.wikipedia.org/wiki/Snow_Campaign;December 1775;South Carolina;Patriot campaign against loyalists in South Carolina.;1775-12-01;;
Battle of the Clouds;https://en.wikipedia.org/wiki/Battle_of_the_Clouds;September 16, 1777;Pennsylvania;Battle called off due to rain;1777-09-16;;40.045341, -75.573084
Siege of Savannah;https://en.wikipedia.org/wiki/Siege_of_Savannah;;Georgia;British victory;;British victory;32.0508333333, -81.1038888889
San Juan Expedition;https://en.wikipedia.org/wiki/San_Juan_Expedition_(1780);;Guatemala;Patriot-Spanish victory;;;11.0191666667, -84.3963888889
First Battle of Martinique;https://en.wikipedia.org/wiki/Battle_of_Martinique_(1779);December 18, 1779;Martinique;British victory;1779-12-18;British victory;14.5833333333, -61.15
Francisco's Fight;https://en.wikipedia.org/wiki/Francisco%27s_Fight;;Virginia;Patriot victory;;Patriot victory;37.14, -78.05
Siege of Pondicherry;https://en.wikipedia.org/wiki/Siege_of_Pondicherry_(1778);;India;British victory;;British victory;11.9340361111, 79.8338694444
Siege of Brimstone Hill;https://en.wikipedia.org/wiki/Siege_of_Brimstone_Hill;;St. Christopher;Franco-Patriot victory;;Patriot victory;17.15, -62.5833333333
